品項,總量,批號,製造日/到期日
M9TDL-KR-K,42,1141127K,2027-09-05
M9TDL-KR-K,4,1150210K,2027-11-25
M9TDL-KR-K,1,1150224K,2027-12-04
M9TDL-KR-K,1,1150312K,2027-12-22
M9TDL-KR-K,12,1150317K,2027-12-22
M9TDL-KR-K,3,1150622K6,2028-03-22
M9TDL-KR-K,4,1150623K5,2028-03-22
M9TDL-KR-K,6,1150729K5,2028-04-29
M89BTDL-KR-K,9,1140508K,2027-03-17
M89SRM-KR-K,13,1140623K,2027-04-07
M89SRM-KR-K,6,1140704K,2027-04-11
M89SRM-KR-K,7,1140905K,2027-06-13
M89SRM-KR-K,6,1150410K,2028-01-16
M89SRM-KR-K,1,1150701K5,2028-05-04
M89SRM-KR-K,3,1150803K6,2028-05-04
M9SRM-KR-K,10,1140623K,2027-04-07
M9SRM-KR-K,30,1140704K,2027-04-11
M45OB-KR-K,4,1150115K,2027-10-16
M67OB-KR-K,15,1150120K,2027-10-31
M89OB-KR-K,11,1150115K,2027-10-31
M89OB-KR-K,17,1150202K,2027-11-13
M89OB-KR-K,3,1150622K6,2028-03-27
M89OB-KR-K,1,1150803K6,2028-05-04
M9OB-KR-K,2,1140623K,2027-04-07
M9OB-KR-K,14,1140704K,2027-04-11
M9OB-KR-K,1,1141121K,2027-08-14
M9OB-KR-K,11,1141127K,2027-09-05
M9OB-KR-K,2,1150105K,2027-10-16
M9OB-KR-K,6,1150115K,2027-10-16
M9OB-KR-K,2,1150202K,2027-11-13
M9OB-KR-K,12,1150224K,2027-12-04
M45SRL-ST,14,ST24#8-11312,2026-11-15
M45SRL-KR-K,1,1140704K,2027-04-11
M45SRL-KR-K,2,1150202K,2027-11-13
M89SRL-KR-K,5,1150210K,2027-11-25
M9SRL-KR-K,5,1140704K,2027-04-11
M9SRL-KR-K,4,1150210K,2027-11-25
M89SRL-KR-K(280/320),2,1150811S,2027.04.11
M89CER-KR-K,3,1150709K5,2028-06-21
M45CER-KR-(十字切),4,1150826S,2028.07.29
M89CER-KR-(橫十字切)-(野人台北),2.5,1150527S,2028.05.04
M89CER-KR-(橫十字切)-(野人台北),4,1150624S,2028.05.04
M67FKS-KR-K,13,1150803K6,2028-05-04
M45BSTT-KR-K,16,1140930K,2027-07-10
M45BSTT-KR-K,18,1141105K,2027-08-14
M45BSTT-KR-K,14,1141127K,2027-09-05
M45BSTT-KR-K,7,1150115K,2027-10-16
M45BSTT-KR-K,8,1150202K,2027-11-13
M45BSTT-KR-K,12,1150224K,2027-12-04
